set_num,name,theme,subtheme,year,pieces_count,minifigs_count,minifigs,availability,retail_price_us,retail_price_uk,retail_price_ca,retail_price_eu,retail_price_au,ean,upc,released_date,retired_date,retired,current_value_new,current_value_used,current_value_used_low,current_value_used_high,forecast_value_new_2_years,forecast_value_new_5_years,rolling_growth_lastyear,rolling_growth_12months,currency,event_condition,event_date,event_value
75198-1,Tatooine Battle Pack,Star Wars,Episode IV,2018,97,4,"sw0620,sw0895,sw0896,sw0897",retail,14.99,12.99,16.99,16.99,24.99,5.70202E+12,6.73419E+11,1/1/2018,4/14/2018,TRUE,31.4,21.12,17.75,25.34,39,50.23,3.19,2.05,EUR,used,7/5/2024,18.01
75199-1,General Grievous' Combat Speeder,Star Wars,The Clone Wars,2018,157,2,"sw0515,sw0889",retail,29.99,25.99,34.99,29.99,44.99,5.70202E+12,6.73419E+11,1/1/2018,12/7/2019,TRUE,104.32,41.9,37.68,50.28,121.43,141.06,2.51,3.78,EUR,used,7/5/2024,37.87
75200-1,Ahch-To Island Training,Star Wars,The Last Jedi,2018,241,2,"sw0887,sw0888",retail,29.99,25.99,34.99,29.99,59.99,5.70202E+12,6.73419E+11,1/1/2018,12/14/2018,TRUE,36.27,23.43,20.72,28.12,37.97,42.42,4.14,0.21,EUR,used,7/5/2024,26.2
75202-1,Defense of Crait,Star Wars,The Last Jedi,2018,746,5,"sw0657,sw0890,sw0891,sw0892",retail,84.99,74.99,99.99,79.99,119.99,5.70202E+12,6.73419E+11,1/1/2018,5/3/2019,TRUE,74.27,64.76,45.46,77.71,77.53,82.34,-0.55,2.14,EUR,used,7/5/2024,45.31
75205-1,Mos Eisley Cantina,Star Wars,Episode IV,2018,378,4,"sw0771,sw0893,sw0894,sw0898",retaillimited,39.99,44.99,49.99,49.99,69.99,5.70202E+12,6.73419E+11,1/1/2018,4/13/2018,TRUE,57.2,39.59,36.96,47.51,64.1,74.28,4.7,-0.09,EUR,used,7/5/2024,37.81
75523-1,Scarif Stormtrooper,Star Wars,Buildable Figures,2017,89,,,retail,24.99,19.99,29.99,24.99,44.99,,6.73419E+11,2/17/2017,3/30/2018,TRUE,31.73,18.46,16.72,22.16,35.16,40.23,-3.12,0.81,EUR,used,7/5/2024,17.67
75524-1,Chirrut Îmwe,Star Wars,Buildable Figures,2017,87,,,retail,24.99,19.99,29.99,24.99,44.99,5.70202E+12,6.73419E+11,2/17/2017,4/4/2018,TRUE,18.74,8.84,8.29,10.6,20.72,21.44,,,EUR,used,7/5/2024,8.82
75525-1,Baze Malbus,Star Wars,Buildable Figures,2017,148,,,retail,24.99,19.99,29.99,24.99,44.99,,6.73419E+11,2/17/2017,4/4/2018,TRUE,21.1,10.82,9.09,16.2,21.84,22.96,2.03,2.38,EUR,used,7/5/2024,10.38
75528-1,Rey,Star Wars,Buildable Figures,2017,85,,,retail,24.99,19.99,29.99,24.99,44.99,,6.73419E+11,9/2/2017,1/15/2018,TRUE,22.81,11.99,9.75,14.39,23.35,24.76,0.84,2.01,EUR,used,7/5/2024,12.5
75529-1,Elite Praetorian Guard,Star Wars,Buildable Figures,2017,92,,,retail,24.99,19.99,29.99,24.99,44.99,5.70202E+12,6.73419E+11,9/2/2017,8/5/2018,TRUE,52.76,20.49,18.29,24.59,66.26,86.2,3.74,1.15,EUR,used,7/5/2024,21.12
75530-1,Chewbacca,Star Wars,Buildable Figures,2017,179,,,retail,34.99,24.99,44.99,34.99,59.99,,6.73419E+11,9/2/2017,11/26/2018,TRUE,52.88,18.09,15.24,21.72,59.48,69.22,-2.07,3.89,EUR,used,7/5/2024,19.03
75531-1,Stormtrooper Commander,Star Wars,Buildable Figures,2017,100,,,retail,24.99,19.99,29.99,24.99,44.99,4.51345E+12,6.73419E+11,6/2/2017,5/4/2018,TRUE,52.79,26.36,22.74,31.63,59.72,69.95,3.05,1.66,EUR,used,7/5/2024,25.17
75532-1,Scout Trooper & Speeder Bike,Star Wars,Buildable Figures,2017,452,,,retail,54.99,49.99,69.99,54.99,79.99,5.70202E+12,6.73419E+11,6/2/2017,11/28/2018,TRUE,83.6,52.05,48.4,64.77,94.17,109.77,3.97,3.68,EUR,used,7/5/2024,53.04
75533-1,Boba Fett,Star Wars,Buildable Figures,2018,144,,,retail,29.99,25.99,39.99,29.99,59.99,5.70202E+12,6.73419E+11,1/1/2018,12/9/2018,TRUE,74.18,45.48,39.76,54.58,76.92,84.12,1.04,-0.26,EUR,used,7/5/2024,49.25
75534-1,Darth Vader,Star Wars,Buildable Figures,2018,168,,,retail,39.99,34.99,49.99,39.99,54.99,5.70202E+12,6.73419E+11,1/1/2018,12/24/2018,TRUE,102.23,45.9,33.51,57.64,125.48,159.8,1.99,-0.33,EUR,used,7/5/2024,45.66
8031-1,V-19 Torrent,Star Wars,The Clone Wars,2008,66,,,retail,3.99,,,,,0736126861095,6.73419E+11,9/10/2009,10/13/2009,TRUE,11.54,4.69,3.36,5.62,13.06,14.87,0.43,1.15,EUR,used,7/5/2024,3.87
8033-1,General Grievous' Starfighter,Star Wars,The Clone Wars,2009,44,,,retail,3.99,,5.49,,,5.70201E+12,6.73419E+11,9/9/2009,9/9/2009,TRUE,9.24,2.96,2.82,3.96,9.72,10.98,3.01,-2.07,EUR,used,7/5/2024,3.04
911613-1,TIE Bomber,Star Wars,Magazine Gifts,2016,26,,,promotional,,,,,,,,8/1/2016,,TRUE,4.25,1.73,1.7,2.09,4.72,5.4,4.38,-0.06,EUR,used,7/5/2024,1.87
911614-1,Yoda's Hut,Star Wars,Magazine Gifts,2016,29,,,promotional,,,,,,,,,,TRUE,5.13,3.1,2.43,3.72,5.31,5.76,-1.04,2.23,EUR,used,7/5/2024,3.22
911722-1,TIE Advanced,Star Wars,Magazine Gifts,2017,26,,,promotional,,,,,,,,5/1/2017,,TRUE,4.22,3.08,3.02,3.7,4.35,4.69,0.62,0.41,EUR,used,7/5/2024,1.99
911723-1,Vulture Droid,Star Wars,Magazine Gifts,2017,35,,,promotional,,,,,,,,6/1/2007,,TRUE,5.06,2.9,2.26,5.46,5.52,6.2,-2.71,7.33,EUR,used,7/5/2024,2.87
911726-1,Imperial Snowtrooper,Star Wars,Magazine Gifts,2017,1,1,sw0764b,promotional,,,,,,,,9/1/2017,,TRUE,5.71,3.45,3.37,4.14,6.34,7.28,1.33,3.23,EUR,used,7/5/2024,4
911832-1,Imperial Shuttle Pilot,Star Wars,Magazine Gifts,2018,5,1,sw0802,promotional,,,,,,,,3/1/2018,,TRUE,6.16,4.99,4.89,5.99,6.52,7.48,-2.91,6.95,EUR,used,7/5/2024,4.69
CELEBV-1,Fan Celebration V CubeDude The Bounty Hunter Edition,Promotional,Cube Dudes,2010,496,,,exclusive,74.99,,,,,,,8/12/2010,8/15/2010,TRUE,271.92,181.71,178.08,218.05,307.54,360.12,1.04,-1.97,EUR,used,7/5/2024,145.02
30056-1,Star Destroyer,Star Wars,Mini Building Set,2012,38,,,retaillimited,3.99,,,,,0719040514261,6.73419E+11,3/1/2012,5/23/2012,TRUE,10.53,3.29,2.58,3.94,12.49,15.37,3.69,5.03,EUR,used,7/6/2024,3.2
30058-1,STAP,Star Wars,Episode I,2012,24,1,sw0001b,promotional,,,,,,,6.73419E+11,,,TRUE,21.77,9.86,8.26,11.84,24.33,28.12,-0.76,3.43,EUR,used,7/6/2024,9.52
30240-1,Z-95 Headhunter,Star Wars,The Clone Wars,2013,54,,,retaillimited,4.99,,,,,5.70201E+12,6.73419E+11,1/1/2013,8/1/2013,TRUE,8.16,2.63,2.49,3.37,9.07,10.44,4.18,3.53,EUR,used,7/6/2024,2.9
30241-1,Mandalorian Fighter,Star Wars,The Clone Wars,2013,49,,,retaillimited,4.99,,4.99,,,5.70201E+12,6.73419E+11,1/1/2013,2/1/2013,TRUE,13.19,3.32,2.83,3.98,14.92,17.47,4.39,1.87,EUR,used,7/6/2024,3.29
30242-1,Republic Frigate,Star Wars,The Clone Wars,2013,45,,,promotional,,,,,,0799665037093,6.73419E+11,3/1/2013,3/15/2013,TRUE,15.93,7.22,6.51,8.67,18.36,21.96,2.84,3.83,EUR,used,7/6/2024,7.68
30243-1,Umbaran MHC,Star Wars,The Clone Wars,2013,48,,,retaillimited,4.99,,,,,0775006508408,6.73419E+11,2/1/2013,12/1/2013,TRUE,7.04,3.7,3.12,4.44,7.95,9.28,-2.95,1.75,EUR,used,7/6/2024,2.84
30247-1,ARC-170 Starfighter,Star Wars,Episode III,2014,54,,,retaillimited,3.99,,,,,5.70202E+12,6.73419E+11,5/1/2014,8/30/2014,TRUE,10.74,3.62,2.8,4.34,12.72,15.64,9.24,4.72,EUR,used,7/6/2024,2.93
30274-1,AT-DP,Star Wars,Rebels,2015,65,,,retaillimited,3.99,2.99,4.99,3.99,5.99,0698887220354,6.73419E+11,1/1/2015,,TRUE,8.33,2.55,2.2,3.08,9.73,11.79,4.51,2.43,EUR,used,7/6/2024,2.53
30275-1,TIE Advanced Prototype,Star Wars,Rebels,2015,47,,,promotional,,,,,,,6.73419E+11,3/1/2015,5/1/2015,TRUE,4.9,2.16,1.87,2.59,5.32,5.93,4.09,3.45,EUR,used,7/6/2024,2.21
30278-1,Poe's X-wing Fighter,Star Wars,The Force Awakens,2016,64,,,retaillimited,3.99,2.99,4.99,3.99,5.99,0743181892193,6.73419E+11,1/25/2016,4/29/2017,TRUE,7.8,3.08,2.5,3.7,9.32,11.57,-3.16,4.09,EUR,used,7/6/2024,2.93
66536-1,Luke Skywalker and Darth Vader,Star Wars,Value Packs,2015,243,,,retaillimited,39.99,34.99,49.99,49.99,,,6.73419E+11,,,TRUE,113.76,93.02,91.07,117.03,120.57,138.4,6.68,5.2,EUR,used,7/6/2024,89.65
75044-1,Droid Tri-Fighter,Star Wars,Episode III,2014,262,4,"sw0001c,sw0533,sw0540,sw0600",retail,29.99,34.99,39.99,39.99,59.99,5.70202E+12,6.73419E+11,2/18/2014,12/26/2015,TRUE,133.84,61.22,58.98,73.46,148.09,185.41,1.8,-0.29,EUR,used,7/6/2024,66.79
75072-1,ARC-170 Starfighter,Star Wars,MicroFighters,2015,95,1,sw0608,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,11/22/2015,TRUE,34.88,13.77,12.24,16.54,41.96,52.41,-3.19,-1.3,EUR,used,7/6/2024,13.19
75073-1,Vulture Droid,Star Wars,MicroFighters,2015,77,1,sw0360,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,11/28/2015,TRUE,30.79,11.4,9.78,15.24,36.12,44,5.7,2.18,EUR,used,7/6/2024,10.45
75074-1,Snowspeeder,Star Wars,MicroFighters,2015,97,1,sw0607,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,11/28/2016,TRUE,19.36,6.88,5.95,8.26,22.11,26.16,2.78,0.48,EUR,used,7/6/2024,6.66
75075-1,AT-AT,Star Wars,MicroFighters,2015,88,1,sw0581,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,12/16/2016,TRUE,22.87,6.52,5.92,7.83,27.39,34.06,3.34,2.74,EUR,used,7/6/2024,6.42
75076-1,Republic Gunship,Star Wars,MicroFighters,2015,105,1,sw0609,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,11/2/2015,TRUE,37.21,19.64,18.67,23.57,44.26,54.65,1.77,1.62,EUR,used,7/6/2024,19.73
75077-1,Homing Spider Droid,Star Wars,MicroFighters,2015,102,1,sw0467,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/1/2015,11/27/2015,TRUE,26.02,9.61,8.07,11.53,29.85,35.51,0.9,1.6,EUR,used,7/6/2024,13.2
75080-1,AAT,Star Wars,Episode I,2015,251,3,"sw0001c,sw0301,sw0360",retail,24.99,24.99,29.99,29.99,39.99,5.70202E+12,6.73419E+11,1/1/2015,12/13/2015,TRUE,78.53,35.2,31.59,42.24,92.18,112.32,4.42,1.43,EUR,used,7/6/2024,36.37
75081-1,T-16 Skyhopper,Star Wars,Episode IV,2015,247,2,"sw0619,sw0620",retail,24.99,24.99,29.99,29.99,39.99,5.70202E+12,6.73419E+11,1/1/2015,11/27/2015,TRUE,50.12,28.16,24.6,33.79,51.58,55.39,0.92,1.74,EUR,used,7/6/2024,28.34
75082-1,TIE Advanced Prototype,Star Wars,Rebels,2015,355,3,"sw0621,sw0622,sw0623",retail,39.99,39.99,49.99,49.99,59.99,5.70202E+12,6.73419E+11,1/1/2015,11/26/2016,TRUE,110,61.6,57.2,73.92,115.1,128.49,0.97,0.59,EUR,used,7/6/2024,62.57
75083-1,AT-DP,Star Wars,Rebels,2015,500,4,"sw0578,sw0624,sw0625",retail,49.99,49.99,59.99,59.99,79.99,5.70202E+12,6.73419E+11,1/1/2015,11/20/2015,TRUE,154,83.45,73.92,100.14,175.92,208.28,3.8,2.76,EUR,used,7/6/2024,75.2
75084-1,Wookiee Gunship,Star Wars,Rebels,2015,570,4,"sw0602,sw0626,sw0627",retail,69.99,59.99,89.99,69.99,99.99,5.70202E+12,6.73419E+11,1/1/2015,11/29/2015,TRUE,192.3,78.85,69.77,94.62,201.16,224.37,4.96,2.36,EUR,used,7/6/2024,74.8
75087-1,Anakin's Custom Jedi Starfighter,Star Wars,The Clone Wars,2015,370,3,"sw0488,sw0534,sw0615",retail,39.99,39.99,49.99,49.99,69.99,5.70202E+12,6.73419E+11,1/1/2015,12/10/2016,TRUE,220.93,98.87,90.62,118.64,290,391.97,-0.42,2.29,EUR,used,7/6/2024,95.37
75088-1,Senate Commando Troopers,Star Wars,Legends,2015,106,4,"sw0613,sw0614",retail,12.99,11.99,15.99,16.99,22.99,5.70202E+12,6.73419E+11,1/1/2015,1/2/2017,TRUE,66.14,29.57,25.23,35.48,82.35,106.28,2.9,1.69,EUR,used,7/6/2024,28.62
75089-1,Geonosis Troopers,Star Wars,Legends,2015,105,4,"sw0605,sw0606",retail,12.99,11.99,15.99,16.99,22.99,5.70202E+12,6.73419E+11,1/1/2015,11/27/2016,TRUE,85.88,35.2,34.11,42.24,111.43,149.15,5.07,3,EUR,used,7/6/2024,39.62
75090-1,Ezra's Speeder Bike,Star Wars,Rebels,2015,253,3,"sw0574,sw0578,sw0616",retail,19.99,19.99,24.99,18.89,32.99,5.70202E+12,6.73419E+11,1/1/2015,12/14/2015,TRUE,75.31,44.26,39.6,53.12,87.24,104.85,3.3,0.12,EUR,used,7/6/2024,45.23
75091-1,Flash Speeder,Star Wars,Episode I,2015,312,5,"sw0001c,sw0594,sw0638,sw0639",retail,29.99,34.99,39.99,39.99,59.99,5.70202E+12,6.73419E+11,6/1/2015,1/10/2017,TRUE,67.67,39.33,38.05,47.19,80.33,99,3.46,3.12,EUR,used,7/6/2024,38.08
75092-1,Naboo Starfighter,Star Wars,Episode I,2015,442,9,"sw0001c,sw0415,sw0527,sw0527a,sw0592,sw0640,sw0641,sw0642,sw0642s",retail,49.99,54.99,59.99,64.99,79.99,5.70202E+12,6.73419E+11,6/1/2015,12/3/2016,TRUE,166.01,82.68,68.35,99.21,189.9,225.18,1.3,1.33,EUR,used,7/6/2024,87.7
75093-1,Death Star Final Duel,Star Wars,Episode VI,2015,724,5,"sw0521,sw0634,sw0635,sw0636",retail,79.99,69.99,99.99,89.99,129.99,5.70202E+12,6.73419E+11,6/1/2015,12/18/2016,TRUE,115.68,57.2,52.8,68.64,128.8,148.17,-0.01,1.98,EUR,used,7/6/2024,57.19
75096-1,Sith Infiltrator,Star Wars,Episode I,2015,662,8,"sw0527,sw0527a,sw0640,sw0649,sw0650,sw0651,sw0652",retail,89.99,84.99,119.99,99.99,149.99,0777904205212,6.73419E+11,8/2/2015,12/6/2016,TRUE,193.38,154,149.6,184.8,220.02,259.34,0.6,1.74,EUR,used,7/6/2024,155.6
75099-1,Rey's Speeder,Star Wars,The Force Awakens,2015,193,2,"sw0655,sw0677",retail,19.99,19.99,24.99,26.99,39.99,5.70202E+12,6.73419E+11,9/5/2015,11/25/2017,TRUE,26.39,10.6,9.84,12.72,29.16,33.25,2.69,-0.94,EUR,used,7/6/2024,12.46
75100-1,First Order Snowspeeder,Star Wars,The Force Awakens,2015,444,3,"sw0656,sw0657",retail,39.99,39.99,49.99,49.99,59.99,5.70202E+12,6.73419E+11,9/5/2015,12/3/2016,TRUE,54.29,25.22,20.9,30.26,60.4,69.42,2.08,3.78,EUR,used,7/6/2024,22.62
75101-1,First Order Special Forces TIE Fighter,Star Wars,The Force Awakens,2015,517,4,"sw0670,sw0671,sw0672",retail,69.99,59.99,89.99,69.99,99.99,5.70202E+12,6.73419E+11,9/5/2015,12/11/2017,TRUE,88.63,39.66,38.72,47.59,92.17,101.42,4.2,1.72,EUR,used,7/6/2024,39.42
75102-1,Poe's X-wing Fighter,Star Wars,The Force Awakens,2015,717,4,"sw0658,sw0659,sw0660,sw0661",retail,79.99,69.99,99.99,89.99,129.99,5.70202E+12,6.73419E+11,9/5/2015,7/5/2018,TRUE,132,54.05,52.07,64.86,147.01,169.17,0.83,1.48,EUR,used,7/6/2024,57.2
75103-1,First Order Transporter,Star Wars,The Force Awakens,2015,792,7,"sw0666,sw0667,sw0668,sw0669,sw0684",retail,89.99,79.99,109.99,99.99,149.99,5.70202E+12,6.73419E+11,9/5/2015,12/20/2016,TRUE,176,101.53,94.74,121.84,194.21,221.08,4.75,0.84,EUR,used,7/6/2024,95.88
75104-1,Kylo Ren's Command Shuttle,Star Wars,The Force Awakens,2015,1005,6,"sw0654,sw0662,sw0663,sw0664,sw0665,sw0671",retail,119.99,99.99,149.99,119.99,169.99,5.70202E+12,6.73419E+11,9/5/2015,1/8/2018,TRUE,130.12,63.85,58.92,76.63,143.11,162.31,-0.16,-1.13,EUR,used,7/6/2024,66
75105-1,Millennium Falcon,Star Wars,The Force Awakens,2015,1329,7,"sw0532,sw0661,sw0673,sw0674,sw0675,sw0676,sw0677",retail,149.99,129.99,179.99,149.99,249.99,5.70202E+12,6.73419E+11,9/5/2015,11/20/2017,TRUE,150.13,77.78,71.85,93.34,162.24,180.11,2.8,1.82,EUR,used,7/6/2024,74.91
75106-1,Imperial Assault Carrier,Star Wars,Rebels,2015,1216,6,"sw0616,sw0621,sw0623,sw0647,sw0648",retail,129.99,99.99,149.99,129.99,199.99,5.70202E+12,6.73419E+11,6/1/2015,12/17/2016,TRUE,255.61,236.72,189.55,284.06,288.3,336.56,2.45,-0.56,EUR,used,7/6/2024,189.2
75109-1,Obi-Wan Kenobi,Star Wars,Buildable Figures,2015,83,,,retail,24.99,19.99,29.99,24.99,39.99,5.70202E+12,6.73419E+11,9/5/2015,1/4/2017,TRUE,53.78,12.39,10.06,14.87,55.02,58.31,3.69,6.96,EUR,used,7/6/2024,15.51
75110-1,Luke Skywalker,Star Wars,Buildable Figures,2015,83,,,retail,19.99,19.99,24.99,19.99,29.99,0077344737671,6.73419E+11,9/5/2015,1/2/2017,TRUE,34.13,8.35,7.5,10.02,39.42,47.24,-2.93,3.44,EUR,used,7/6/2024,8.69
75111-1,Darth Vader,Star Wars,Buildable Figures,2015,160,,,retail,29.99,24.99,39.99,29.99,49.99,0790405071681,6.73419E+11,9/5/2015,11/25/2017,TRUE,66.94,9.86,9.02,11.84,82.54,105.56,5.35,1.11,EUR,used,7/6/2024,12.74
75113-1,Rey,Star Wars,Buildable Figures,2016,84,,,retail,19.99,14.99,24.99,19.99,29.99,,6.73419E+11,1/2/2016,5/2/2017,TRUE,18.51,6.53,5.93,7.83,19.96,22.11,-1.75,1,EUR,used,7/6/2024,6.46
75114-1,First Order Stormtrooper,Star Wars,Buildable Figures,2016,81,,,retail,19.99,14.99,24.99,19.99,29.99,6.90074E+12,6.73419E+11,1/2/2016,3/16/2018,TRUE,46.09,8.89,7.39,10.67,51.47,59.43,4.09,2.09,EUR,used,7/6/2024,9.63
75115-1,Poe Dameron,Star Wars,Buildable Figures,2016,102,,,retail,24.99,19.99,29.99,24.99,44.99,,6.73419E+11,1/2/2016,4/12/2017,TRUE,22.61,7.15,5.41,8.57,24.53,27.38,-4.42,1.35,EUR,used,7/6/2024,8.01
75116-1,Finn,Star Wars,Buildable Figures,2016,98,,,retail,24.99,19.99,29.99,24.99,44.99,,6.73419E+11,1/2/2016,3/31/2018,TRUE,21.91,7.04,5.98,8.45,22.9,24.36,2.75,-1.99,EUR,used,7/6/2024,7.93
75117-1,Kylo Ren,Star Wars,Buildable Figures,2016,86,,,retail,24.99,19.99,29.99,24.99,44.99,6.90074E+12,6.73419E+11,1/2/2016,8/23/2018,TRUE,44,8.85,7.74,10.62,50.44,59.95,2.06,3.06,EUR,used,7/6/2024,10.46
75118-1,Captain Phasma,Star Wars,Buildable Figures,2016,82,,,retail,24.99,19.99,29.99,24.99,44.99,5.70202E+12,6.73419E+11,1/2/2016,11/25/2017,TRUE,43.99,10.33,9.79,12.4,50.13,59.2,3.45,1.01,EUR,used,7/6/2024,11.38
75125-1,Resistance X-wing Fighter,Star Wars,MicroFighters,2016,87,1,sw0705,retail,9.99,8.99,12.99,9.99,15.99,6.90074E+12,6.73419E+11,3/1/2016,11/15/2017,TRUE,16.85,5.23,4.88,6.27,19.17,22.59,0.8,0.22,EUR,used,7/6/2024,5.5
75126-1,First Order Snowspeeder,Star Wars,MicroFighters,2016,91,1,sw0701,retail,9.99,8.99,12.99,9.99,15.99,5.70202E+12,6.73419E+11,1/2/2016,11/25/2017,TRUE,13.46,4.97,4.55,5.97,15.09,17.51,8.91,1.94,EUR,used,7/6/2024,4.89
75127-1,The Ghost,Star Wars,MicroFighters,2016,104,1,sw0576,retail,9.99,8.99,12.99,9.99,15.99,,6.73419E+11,3/1/2016,12/2/2016,TRUE,40.22,24.54,19.62,29.45,41.98,46.6,-0.91,0.08,EUR,used,7/6/2024,24.82
75128-1,TIE Advanced Prototype,Star Wars,MicroFighters,2016,93,1,sw0621,retail,9.99,8.99,12.99,9.99,15.99,4.10629E+12,6.73419E+11,3/1/2016,11/28/2017,TRUE,18.36,5.83,4.93,7,20.68,24.1,2.56,1.92,EUR,used,7/6/2024,5.59
75129-1,Wookiee Gunship,Star Wars,MicroFighters,2016,84,1,sw0713,retail,9.99,8.99,12.99,9.99,15.99,,6.73419E+11,3/1/2016,11/25/2017,TRUE,21.97,6.49,6.01,7.79,25.46,30.6,2.89,1.44,EUR,used,7/6/2024,6.6
75130-1,AT-DP,Star Wars,MicroFighters,2016,76,1,sw0624,retail,9.99,8.99,12.99,9.99,15.99,,6.73419E+11,3/1/2016,11/26/2016,TRUE,21.99,9.85,9.65,13.02,24.64,28.56,6.45,6.52,EUR,used,7/6/2024,10.31
75131-1,Resistance Trooper Battle Pack,Star Wars,The Force Awakens,2016,112,4,"sw0696,sw0697,sw0698,sw0699",retail,12.99,11.99,15.99,16.99,22.99,0809787027794,6.73419E+11,1/2/2016,11/25/2017,TRUE,22.18,9.68,8.89,11.62,24.47,27.86,5.39,1.47,EUR,used,7/6/2024,11.48
75132-1,First Order Battle Pack,Star Wars,The Force Awakens,2016,88,4,"sw0667,sw0671,sw0694,sw0695",retail,12.99,11.99,15.99,16.99,22.99,6.08459E+12,6.73419E+11,1/2/2016,11/24/2017,TRUE,21.99,10.78,9.61,12.94,25.12,29.74,4.23,2.12,EUR,used,7/6/2024,10.92
75134-1,Galactic Empire Battle Pack,Star Wars,Battlefront,2016,109,4,"sw0691,sw0692,sw0693",retail,12.99,11.99,15.99,16.99,22.99,5.19452E+12,6.73419E+11,3/1/2016,11/7/2016,TRUE,47.31,26.89,25.27,32.27,55.36,67.25,0.05,0.2,EUR,used,7/6/2024,27.43
75135-1,Obi-Wan's Jedi Interceptor,Star Wars,Episode III,2016,215,2,"sw0704,sw0706",retail,24.99,19.99,29.99,29.99,44.99,6.90074E+12,6.73419E+11,3/1/2016,12/2/2016,TRUE,136.81,47.21,39.7,56.65,166.38,210.04,5.11,1.34,EUR,used,7/6/2024,43.85
75136-1,Droid Escape Pod,Star Wars,Episode IV,2016,197,4,"sw0527a,sw0560,sw0590,sw0700",retail,24.99,19.99,29.99,29.99,44.99,6.90074E+12,6.73419E+11,3/1/2016,11/26/2016,TRUE,47.89,20.13,17.99,24.69,55.78,67.43,0.75,2.72,EUR,used,7/6/2024,21.81
75137-1,Carbon-Freezing Chamber,Star Wars,Episode V,2016,231,3,"sw0710,sw0711,sw0714,sw0978",retail,24.99,19.99,29.99,29.99,44.99,6.90074E+12,6.73419E+11,3/1/2016,11/24/2017,TRUE,48.56,24.64,22.91,29.57,58.7,73.66,2.54,-0.13,EUR,used,7/6/2024,26.4
75138-1,Hoth Attack,Star Wars,Episode V,2016,233,4,"sw0568,sw0708,sw0709,sw0712",retail,24.99,19.99,29.99,29.99,44.99,0731631020210,6.73419E+11,3/1/2016,11/28/2016,TRUE,67.08,33.21,31.68,39.86,74.92,86.49,4.46,-0.3,EUR,used,7/6/2024,35.63
75139-1,Battle on Takodana,Star Wars,The Force Awakens,2016,409,5,"sw0667,sw0676,sw0703,sw0717",retail,59.99,49.99,74.99,59.99,89.99,5.70202E+12,6.73419E+11,1/2/2016,12/20/2017,TRUE,58.75,28.53,26.23,34.23,64.17,72.17,3.92,1.53,EUR,used,7/6/2024,32.82
75140-1,Resistance Troop Transporter,Star Wars,The Force Awakens,2016,646,4,"sw0718,sw0719,sw0720,sw0721",retail,69.99,59.99,89.99,69.99,109.99,6.90074E+12,6.73419E+11,1/2/2016,12/5/2016,TRUE,74.95,49.59,43.96,59.51,81.73,91.72,2.6,1.29,EUR,used,7/6/2024,47.6
75142-1,Homing Spider Droid,Star Wars,Episode III,2016,310,4,"sw0001c,sw0519,sw0707,sw0966",retail,29.99,34.99,39.99,39.99,59.99,0719040514131,6.73419E+11,3/1/2016,6/5/2017,TRUE,157.77,59.25,57.2,71.1,206.69,278.92,3.23,1.06,EUR,used,7/6/2024,70.29
75145-1,Eclipse Fighter,Star Wars,Original Content,2016,363,2,"sw0751,sw0752",retail,29.99,34.99,39.99,39.99,59.99,4.51679E+12,6.73419E+11,6/1/2016,11/28/2017,TRUE,52.79,25.81,21.85,30.98,61.93,75.43,2.87,1.37,EUR,used,7/6/2024,23.76
75147-1,Star Scavenger,Star Wars,Original Content,2016,558,4,"sw0753,sw0754,sw0755,sw0756",retail,49.99,49.99,59.99,59.99,89.99,0791209682127,6.73419E+11,6/1/2016,12/14/2017,TRUE,70.92,47.14,43.38,56.57,79.73,92.73,1.19,-1.26,EUR,used,7/6/2024,45.85
75148-1,Encounter on Jakku,Star Wars,The Force Awakens,2016,530,4,"sw0661,sw0677,sw0739,sw0740",retail,59.99,49.99,74.99,69.99,89.99,5.70202E+12,6.73419E+11,6/1/2016,3/31/2018,TRUE,45.23,32.38,29,38.87,53.04,55.92,-0.03,3.02,EUR,used,7/6/2024,34.21
75149-1,Resistance X-wing Fighter,Star Wars,The Force Awakens,2016,740,4,"sw0661,sw0666,sw0737,sw0738",retail,79.99,79.99,99.99,89.99,139.99,4.10629E+12,6.73419E+11,6/1/2016,12/7/2017,TRUE,101.2,59,56.01,70.8,115.32,136.17,2.89,0.09,EUR,used,7/6/2024,56.79
75150-1,Vader's TIE Advanced vs. A-wing Fighter,Star Wars,Rebels,2016,702,4,"sw0741,sw0742,sw0743,sw0744",retail,89.99,79.99,119.99,109.99,139.99,0648044966892,6.73419E+11,6/1/2016,12/1/2016,TRUE,202.39,110.72,83.39,132.87,238.31,291.36,3.18,1.16,EUR,used,7/6/2024,102.2
